"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"860Z200US01540","ZCTA5 01540","4145","330","3466","271","679","196",
"860Z200US01541","ZCTA5 01541","1324","103","1262","106","62","45",
"860Z200US01542","ZCTA5 01542","1046","193","915","190","131","68",
"860Z200US01543","ZCTA5 01543","3091","221","2736","196","355","109",
"860Z200US01545","ZCTA5 01545","14508","535","10462","428","4046","427",
"860Z200US01550","ZCTA5 01550","7256","357","3213","310","4043","373",
"860Z200US01560","ZCTA5 01560","1955","236","1116","167","839","184",
"860Z200US01561","ZCTA5 01561","0","14","0","14","0","14",
"860Z200US01562","ZCTA5 01562","5135","314","3345","309","1790","404",
"860Z200US01564","ZCTA5 01564","3283","277","2882","311","401","105",
"860Z200US01566","ZCTA5 01566","2784","179","2570","198","214","79",
"860Z200US01568","ZCTA5 01568","2878","187","2590","207","288","140",
"860Z200US01569","ZCTA5 01569","5434","367","4359","369","1075","411",
"860Z200US01570","ZCTA5 01570","7468","333","4331","354","3137","275",
"860Z200US01571","ZCTA5 01571","4255","298","3012","239","1243","248",
"860Z200US01581","ZCTA5 01581","8065","297","4895","327","3170","297",
"860Z200US01583","ZCTA5 01583","2914","138","2332","170","582","136",
"860Z200US01585","ZCTA5 01585","2171","271","1750","240","421","191",
"860Z200US01588","ZCTA5 01588","4350","322","2613","329","1737","340",
"860Z200US01590","ZCTA5 01590","3220","209","2792","223","428","148",
"860Z200US01602","ZCTA5 01602","9952","638","5995","487","3957","438",
"860Z200US01603","ZCTA5 01603","8133","499","3935","361","4198","487",
"860Z200US01604","ZCTA5 01604","16775","731","7272","735","9503","651",
"860Z200US01605","ZCTA5 01605","11886","667","3718","351","8168","723",
"860Z200US01606","ZCTA5 01606","8928","612","6122","466","2806","455",
"860Z200US01607","ZCTA5 01607","3770","401","1623","308","2147","345",
"860Z200US01608","ZCTA5 01608","2214","288","100","77","2114","295",
"860Z200US01609","ZCTA5 01609","8230","682","3277","432","4953","505",
"860Z200US01610","ZCTA5 01610","9259","594","1507","334","7752","574",
"860Z200US01611","ZCTA5 01611","825","163","659","144","166","98",
"860Z200US01612","ZCTA5 01612","1633","132","1474","105","159","145",
"860Z200US01701","ZCTA5 01701","12804","497","10015","570","2789","379",
"860Z200US01702","ZCTA5 01702","14665","536","5033","538","9632","481",
"860Z200US01718","ZCTA5 01718","217","58","209","61","8","13",
"860Z200US01719","ZCTA5 01719","2210","164","1708","147","502","151",
